jvm;options;iteration;exitcode;duration;DRAM;CPU
17.ea.6.lm-open;deafult;2;0;19187912;249678069;878626474
17.ea.2.pma-open;deafult;2;0;19126617;249828987;899874527
16-open;deafult;2;0;19124481;248918546;886796741
16.0.1-open;deafult;2;0;19170702;250672369;899914017
11.0.11-open;deafult;2;0;19055010;246846650;882732970
11.0.10-open;deafult;2;0;20590488;267541782;946412922
11.0.2-open;deafult;2;0;20499120;267037066;948027236
8.0.292-open;deafult;2;0;23731383;309669935;1105115579
8.0.282-open;deafult;2;0;23874500;309736581;1101565845
8.0.265-open;deafult;2;0;23684714;309974190;1106303259
21.0.0.0-mandrel;deafult;2;0;19690313;257678867;921000511
20.3.1.2-mandrel;deafult;2;0;19665485;257261865;910289113
11.0.11.9.1-ms;deafult;2;0;19093216;247642159;874440143
11.0.10.9-ms;deafult;2;0;19639225;256375613;901734692
16-sapmchn;deafult;2;0;19018809;246916494;875987260
16.0.1-sapmchn;deafult;2;0;19165946;252597048;897637717
15.0.2-sapmchn;deafult;2;0;20410987;266924703;946911456
11.0.11-sapmchn;deafult;2;0;19110255;247374316;874179342
11.0.10-sapmchn;deafult;2;0;20447754;267289669;959529099
11.0.9-trava;deafult;2;0;20440114;264825297;934683214
8.0.232-trava;deafult;2;0;23691576;308882335;1113065693
20.2.0.r11-grl; -XX:-UseJVMCICompiler;2;0;19825633;257963814;916361668
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=community;2;0;25673641;337876525;1200713540
20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;2;0;17613410;228235058;834533386
15.0.1.j9-adpt; -XcompilationThreads1;2;0;17077657;221774342;787921383
15.0.1.j9-adpt; -XcompilationThreads3;2;0;17170821;221662391;788793940
15.0.1.j9-adpt; -XcompilationThreads7;2;0;17318068;223258211;801504601
15.0.1.j9-adpt; -Xjit:count=0;2;0;23245475;304090943;1104892253
15.0.1.j9-adpt; -Xjit:count=1;2;0;15693770;204963023;768496568
15.0.1.j9-adpt; -Xjit:count=10;2;0;16875858;218019217;783706185
15.0.1.j9-adpt; -Xjit:count=100;2;0;19838118;256842278;914226602
15.0.1.j9-adpt; -Xjit:optlevel=cold;2;0;23648192;308559338;1118785892
15.0.1.j9-adpt; -Xjit:optlevel=warm;2;0;16182259;209619379;749395543
15.0.1.j9-adpt; -Xjit:optlevel=hot;2;0;25355276;334867719;1188304635
15.0.1.j9-adpt; -Xjit:optlevel=veryhot;2;0;25494927;332338094;1188151134
15.0.1.j9-adpt; -Xjit:optlevel=scorching;2;0;25321318;334428884;1204573394
15.0.1-open; -XX:-TieredCompilation;2;0;20524186;265480704;937405559
15.0.1-open; -XX:TieredStopAtLevel=0;2;0;369358470;4897071628;18333366702
15.0.1-open; -XX:TieredStopAtLevel=1;2;0;14955529;191377327;696779100
15.0.1-open; -XX:TieredStopAtLevel=2;2;0;25852104;337309108;1249344702
15.0.1-open; -XX:TieredStopAtLevel=3;2;0;38661245;504313137;1898285911
15.0.1-open; -XX:TieredStopAtLevel=4;2;0;20544177;266006963;959322618
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;2;0;20465366;264857504;951877385
20.2.0.r11-grl; -XX:+UseG1GC;2;0;25038701;324442330;1142958499
20.2.0.r11-grl; -XX:ParallelGCThreads=5;2;0;25607056;333876523;1191015688
20.2.0.r11-grl; -XX:ConcGCThreads=5;2;0;25123071;323946670;1155344760
20.2.0.r11-grl; -XX:ParallelGCThreads=1;2;0;25035688;329838854;1171904226
20.2.0.r11-grl; -XX:ConcGCThreads=1;2;0;25030090;325033781;1158794031
20.2.0.r11-grl; -XX:+DisableExplicitGC;2;0;25144981;326885647;1161821244
20.2.0.r11-grl; -XX:+UseParallelGC;2;0;25223468;327818015;1163683361
20.2.0.r11-grl; -XX:+UseParallelOldGC;2;0;25166692;327473443;1165029122
20.2.0.r11-grl; -XX:MaxGCPauseMillis=5000 -XX:GCTimeRatio=2;2;0;25131845;325878571;1165868048
15.0.1.j9-adpt; -Xgc:concurrentScavenge;2;0;17217408;222533497;805675978
15.0.1.j9-adpt; -Xgc:scvNoAdaptiveTenure;2;0;17183131;221076110;800594997
15.0.1.j9-adpt; -Xgcpolicy:balanced;2;0;17117929;221304326;797061314
15.0.1.j9-adpt; -Xgcpolicy:gencon;2;0;17160275;220998081;797482334
15.0.1.j9-adpt; -Xgcpolicy:metronome;2;0;17821167;230378357;834043580
15.0.1.j9-adpt; -Xgcpolicy:nogc;2;0;17141859;220310882;800057461
15.0.1.j9-adpt; -Xgcpolicy:optavgpause;2;0;17178783;220582211;790898488
15.0.1.j9-adpt; -Xgcpolicy:optthruput;2;0;17105090;222596946;794900858
15.0.1-open; -XX:+UseG1GC;2;0;20435006;264529839;953115784
15.0.1-open; -XX:ParallelGCThreads=5;2;0;20502506;264911743;942595488
15.0.1-open; -XX:ConcGCThreads=5;2;0;20493174;266831021;957425650
15.0.1-open; -XX:ParallelGCThreads=1;2;0;20478201;266549471;947841811
15.0.1-open; -XX:ConcGCThreads=1;2;0;20474383;263757343;946289447
15.0.1-open; -XX:+DisableExplicitGC;2;0;20466110;266230511;948905347
15.0.1-open; -XX:+UseParallelGC;2;0;20392428;263908156;937011944
15.0.1-open; -XX:+UseParallelOldGC;2;0;20475531;263044255;935709885
15.0.1-open; -XX:+UseSerialGC;2;0;20538332;265184771;944861778
15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+UseEpsilonGC -XX:+AlwaysPreTouch;2;0;20962069;271846943;967614222
16.0.0.j9-adpt;deafult;3;0;17170829;219618587;785835817
16.0.0.hs-adpt;deafult;3;0;19057477;244592883;872777246
11.0.11.j9-adpt;deafult;3;0;17437058;225463875;813921317
11.0.11.hs-adpt;deafult;3;0;19208497;246786766;882758359
11.0.10.j9-adpt;deafult;3;0;17267949;223961661;802211569
11.0.10.hs-adpt;deafult;3;0;20495179;264828006;949931894
8.0.292.j9-adpt;deafult;3;0;17080774;218707670;784147590
8.0.292.hs-adpt;deafult;3;0;23817107;308130005;1118312200
8.0.282.j9-adpt;deafult;3;0;17445704;224042474;811569516
8.0.282.hs-adpt;deafult;3;0;23578416;304897421;1093408884
11.0.9.4-albba;deafult;3;0;20745650;270090854;965394929
8.5.5-albba;deafult;3;0;23850050;307462268;1102305894
16.0.1.9.1-amzn;deafult;3;0;19093070;246047639;875295122
16.0.0.36.1-amzn;deafult;3;0;19258105;247959618;878537546
15.0.2.7.1-amzn;deafult;3;0;20666747;267081482;961207866
11.0.11.9.1-amzn;deafult;3;0;18275277;235919451;836546686
11.0.10.9.1-amzn;deafult;3;0;20398565;264658207;944262231
8.292.10.1-amzn;deafult;3;0;23880171;309637728;1141215646
8.282.08.1-amzn;deafult;3;0;23709163;308411019;1119099613
16.0.0-zulu;deafult;3;0;19028494;244558260;869691743
16.0.0.fx-zulu;deafult;3;0;19123994;247386709;882550964
15.0.2.fx-zulu;deafult;3;0;20450645;264116893;934255481
11.0.11-zulu;deafult;3;0;18319639;236598466;842907387
11.0.10-zulu;deafult;3;0;19904338;256378123;912816572
11.0.10.fx-zulu;deafult;3;0;20380589;263076049;935627549
8.0.292-zulu;deafult;3;0;23612126;306842939;1091603835
8.0.282-zulu;deafult;3;0;23784828;308757871;1113977860
8.0.282.fx-zulu;deafult;3;0;23724141;307697306;1114808120
7.0.302-zulu;deafult;3;0;23679771;309519582;1104443157
7.0.292-zulu;deafult;3;0;23704540;308229776;1097796628
6.0.119-zulu;deafult;3;0;19370842;250895275;909066765
16.0.1.fx-librca;deafult;3;0;19144451;245998403;906835997
16.0.1-librca;deafult;3;0;19080071;245121086;867569801
16.0.0.fx-librca;deafult;3;0;19249232;249583682;891194252
16.0.0-librca;deafult;3;0;19120044;245802288;873095360
11.0.11.fx-librca;deafult;3;0;19184356;248423820;883429684
11.0.11-librca;deafult;3;0;19133827;247672866;894489226
11.0.10.fx-librca;deafult;3;0;19710846;255406511;909563711
11.0.10-librca;deafult;3;0;20488394;266159045;975988346
8.0.292.fx-librca;deafult;3;0;23613832;307411869;1106177955
8.0.292-librca;deafult;3;0;23688061;305838278;1090238236
8.0.282.fx-librca;deafult;3;0;23684887;306700021;1107207004
8.0.282-librca;deafult;3;0;23700308;306842602;1089831987
21.1.0.r16-grl;deafult;3;0;24862835;324181555;1148404287
21.1.0.r11-grl;deafult;3;0;24959098;323984952;1141846197
21.1.0.r8-grl;deafult;3;0;25012020;326754265;1204314116
21.0.0.2.r11-grl;deafult;3;0;24887749;324285503;1138652298
21.0.0.2.r8-grl;deafult;3;0;24848711;322611240;1176680886
20.3.2.r11-grl;deafult;3;0;24788061;321831431;1147102289
20.3.2.r8-grl;deafult;3;0;24800179;322076828;-260969093087
20.3.1.2.r11-grl;deafult;3;0;24835669;322571308;1131892855
20.3.1.2.r8-grl;deafult;3;0;24761365;321649942;1164566477
19.3.6.r11-grl;deafult;3;0;24767041;324370204;1147900077
19.3.6.r8-grl;deafult;3;0;24817011;326154445;1172292836
19.3.5.r11-grl;deafult;3;0;24896206;323659979;1138520401
19.3.5.r8-grl;deafult;3;0;24907928;323269890;1169151792
17.ea.19-open;deafult;3;0;19039966;248981077;878093090
17.ea.6.lm-open;deafult;3;0;19104406;247624197;886598194
17.ea.2.pma-open;deafult;3;0;18996845;245089690;870230011
16-open;deafult;3;0;19123175;247598309;879900458
16.0.1-open;deafult;3;0;19163271;248573087;878747263
11.0.11-open;deafult;3;0;18428917;238691277;853053113
11.0.10-open;deafult;3;0;20486609;267026861;960952741
11.0.2-open;deafult;3;0;20470533;265480292;938653725
8.0.292-open;deafult;3;0;23643681;306990599;1091772962
8.0.282-open;deafult;3;0;23743746;307595806;1105472572
8.0.265-open;deafult;3;0;23709123;307812805;1102142076
21.0.0.0-mandrel;deafult;3;0;20514437;266086875;948762463
20.3.1.2-mandrel;deafult;3;0;19729567;254267609;907455685
11.0.11.9.1-ms;deafult;3;0;19080277;248409439;884912346
11.0.10.9-ms;deafult;3;0;20371701;264283723;946621172
16-sapmchn;deafult;3;0;19096175;247481050;875769060
16.0.1-sapmchn;deafult;3;0;19131004;248069074;886818469
15.0.2-sapmchn;deafult;3;0;20483859;264893872;938811805
11.0.11-sapmchn;deafult;3;0;18515568;240794170;863921189
