jvm;options;iteration;exitcode;duration;DRAM;CPU
15.0.2.fx-zulu;default;2;0;39350911;528143577;1832099986
11.0.11-zulu;default;2;0;39723480;532340428;1812110596
11.0.10-zulu;default;2;0;39558273;534978577;1853923965
11.0.10.fx-zulu;default;2;0;39595512;531906612;1833448615
8.0.292-zulu;default;2;0;62555593;841471252;2838906185
8.0.282-zulu;default;2;0;62541987;840911867;2840124626
8.0.282.fx-zulu;default;2;0;62587730;843119781;2820291913
16.0.1.fx-librca;default;2;0;39388030;530480575;1861330929
16.0.1-librca;default;2;0;39581720;529737820;1856718697
16.0.0.fx-librca;default;2;0;41766561;560584747;1860353514
16.0.0-librca;default;2;0;40900843;552825766;2030725209
11.0.11.fx-librca;default;2;0;39398853;529445469;1824491972
11.0.11-librca;default;2;0;39429394;531117559;1844987525
11.0.10.fx-librca;default;2;0;39296402;529196415;1837490169
11.0.10-librca;default;2;0;39481013;530199039;1847435883
8.0.292.fx-librca;default;2;0;60306844;812852341;2643072519
8.0.292-librca;default;2;0;58663798;791397089;2634690888
8.0.282.fx-librca;default;2;0;59458571;803854457;2646192261
8.0.282-librca;default;2;0;58688272;788138971;2603070484
21.1.0.r16-grl;default;2;0;39578775;530228583;1796029459
21.1.0.r11-grl;default;2;0;39628865;531999207;1842319685
21.1.0.r8-grl;default;2;0;41035396;554391385;1843792521
21.0.0.2.r11-grl;default;2;0;40872760;548866829;1863845021
21.0.0.2.r8-grl;default;2;0;40883792;549121438;1874507957
20.3.2.r11-grl;default;2;0;40731162;548120924;1868909888
20.3.2.r8-grl;default;2;0;41197869;553711973;1897660119
20.3.1.2.r11-grl;default;2;0;40385197;544521370;1933618708
20.3.1.2.r8-grl;default;2;0;40673410;545949411;1883668884
19.3.6.r11-grl;default;2;0;39634125;533100700;1807255811
19.3.6.r8-grl;default;2;0;39763029;532687921;1805109027
19.3.5.r11-grl;default;2;0;39711376;532001930;1823926360
19.3.5.r8-grl;default;2;0;39836424;535600598;1845805821
17.ea.19-open;default;2;0;39635423;532594821;1821472021
17.ea.6.lm-open;default;2;0;39534829;529583781;1817019457
